employer,notice_date,number_of_employees_affected,warn_type,city,zip,lwib_area,address,record_number,detail_page_url
"Forest River, Inc.","Mar 08, 2021",146,WARN,Salina,67401,1 - Workforce Investment Area I,"1655 Wall Street; Salina, Kansas 67401",2140,https://www.kansasworks.com/search/warn_lookups/2140
Siemems Gamesa,"Apr 14, 2021",40,Non-WARN,Hutchinson,67501,1 - Workforce Investment Area I,"1000 Commerce St.; Hutchinson, Kansas 67501",2143,https://www.kansasworks.com/search/warn_lookups/2143
Medova Healthcare,"May 27, 2021",,WARN,Wichita,67226,4 - Workforce Investment Area IV,,2144,https://www.kansasworks.com/search/warn_lookups/2144
Penny's Caravan,"May 27, 2021",10,Non-WARN,Wichita,67204,4 - Workforce Investment Area IV,"2260 Coolidge Ave; Wichita, Kansas 67204",2145,https://www.kansasworks.com/search/warn_lookups/2145
Scholfield Hatchett Body Shop,"May 18, 2021",35,Non-WARN,Wichita,67207,4 - Workforce Investment Area IV,"11516 E Kellogg Dr N; Wichita, Kansas 67207",2146,https://www.kansasworks.com/search/warn_lookups/2146
"Chewy, Inc.","Jun 10, 2021",162,WARN,Edgerton,66021,3 - Workforce Investment Area III,"30901 W. 191st Street; Edgerton, Kansas 66021",2147,https://www.kansasworks.com/search/warn_lookups/2147
US Tower,"Jul 14, 2021",,Non-WARN,Lincoln,67455,1 - Workforce Investment Area I,,2148,https://www.kansasworks.com/search/warn_lookups/2148
Waddell & Reed,"Feb 26, 2021",434,WARN,Mission,66202,3 - Workforce Investment Area III,"6300 Lamar Avenue; Mission, Kansas 66202",2135,https://www.kansasworks.com/search/warn_lookups/2135
"Cowley Distributing, Inc.","Sep 16, 2021",66,WARN,Jefferson City,65109,3 - Workforce Investment Area III,"John, Cowley; Jefferson City, Missouri 65109",2149,https://www.kansasworks.com/search/warn_lookups/2149
"Cowley Distributing, Inc.","Sep 16, 2021",19,WARN,Jefferson City,65109,4 - Workforce Investment Area IV,"732 Heisinger Road; Jefferson City, Missouri 65109",2150,https://www.kansasworks.com/search/warn_lookups/2150
ADM,"Sep 24, 2021",,Non-WARN,Salina,67401,1 - Workforce Investment Area I,,2151,https://www.kansasworks.com/search/warn_lookups/2151
Fuller Industries,"Sep 27, 2021",21,Non-WARN,Great Bend,67530,1 - Workforce Investment Area I,"1 FullerWay; Great Bend, Kansas 67530",2152,https://www.kansasworks.com/search/warn_lookups/2152
PAE,"Oct 01, 2021",22,WARN,Falls Church,22043,3 - Workforce Investment Area III,"7799 Leesburg Pike, Suite 300 North; Falls Church, Virginia 22043",2153,https://www.kansasworks.com/search/warn_lookups/2153
EmberHope,"Nov 02, 2021",4,Non-WARN,Newton,67114,1 - Workforce Investment Area I,"900 W. Broadway; Newton, Kansas 67114",2154,https://www.kansasworks.com/search/warn_lookups/2154
Beaty Brands,"Jan 04, 2019",44,WARN,,,3 - Workforce Investment Area III,,1930,https://www.kansasworks.com/search/warn_lookups/1930
Lee Brand,"Jan 14, 2019",93,WARN,,,3 - Workforce Investment Area III,,1931,https://www.kansasworks.com/search/warn_lookups/1931
Queen's Price Chopper,"Jan 07, 2019",,Non-WARN,,,5 - Workforce Investment Area V,,1932,https://www.kansasworks.com/search/warn_lookups/1932
"XPO Logistics Worldwide, Inc.","Jan 24, 2019",136,WARN,,,3 - Workforce Investment Area III,,1933,https://www.kansasworks.com/search/warn_lookups/1933
ShopKo,"Jan 22, 2019",14,Non-WARN,,,1 - Workforce Investment Area I,,1935,https://www.kansasworks.com/search/warn_lookups/1935
ShopKo,"Jan 10, 2019",13,Non-WARN,,,1 - Workforce Investment Area I,,1936,https://www.kansasworks.com/search/warn_lookups/1936
ShopKo,"Jan 25, 2019",,Non-WARN,,,5 - Workforce Investment Area V,,1937,https://www.kansasworks.com/search/warn_lookups/1937
Oswego Community Hospital,"Feb 13, 2019",62,Non-WARN,,,5 - Workforce Investment Area V,,1938,https://www.kansasworks.com/search/warn_lookups/1938
Oswego Community Clinic,"Feb 13, 2019",2,Non-WARN,,,5 - Workforce Investment Area V,,1939,https://www.kansasworks.com/search/warn_lookups/1939
Chetopa Community Clinic,"Feb 13, 2019",2,Non-WARN,,,5 - Workforce Investment Area V,,1940,https://www.kansasworks.com/search/warn_lookups/1940
Billy Sims Barbecue,"Feb 13, 2019",,Non-WARN,,,5 - Workforce Investment Area V,,1942,https://www.kansasworks.com/search/warn_lookups/1942
ShopKo,"Feb 04, 2019",,Non-WARN,,,1 - Workforce Investment Area I,,1943,https://www.kansasworks.com/search/warn_lookups/1943
ShopKo,"Feb 08, 2019",15,Non-WARN,,,1 - Workforce Investment Area I,,1944,https://www.kansasworks.com/search/warn_lookups/1944
Moon's Hometown Market,"Feb 20, 2019",3,Non-WARN,,,5 - Workforce Investment Area V,,1945,https://www.kansasworks.com/search/warn_lookups/1945
Moon's Hometown Market,"Feb 20, 2019",3,Non-WARN,,,5 - Workforce Investment Area V,,1946,https://www.kansasworks.com/search/warn_lookups/1946
Aaron's,"Feb 19, 2019",,Non-WARN,,,5 - Workforce Investment Area V,,1947,https://www.kansasworks.com/search/warn_lookups/1947
"Payless ShoeSource, Inc.","Feb 19, 2019",211,WARN,,,2 - Workforce Investment Area II,,1948,https://www.kansasworks.com/search/warn_lookups/1948
McCormick Armstrong,"Feb 21, 2019",60,Non-WARN,,,4 - Workforce Investment Area IV,,1949,https://www.kansasworks.com/search/warn_lookups/1949
Trinity Steel & Pipe Inc.,"May 13, 2019",6,Non-WARN,,,5 - Workforce Investment Area V,,1977,https://www.kansasworks.com/search/warn_lookups/1977
ShopKo,"Feb 19, 2019",,Non-WARN,,,1 - Workforce Investment Area I,,1950,https://www.kansasworks.com/search/warn_lookups/1950
ShopKo,"Feb 22, 2019",,Non-WARN,,,1 - Workforce Investment Area I,,1951,https://www.kansasworks.com/search/warn_lookups/1951
Payless Shoes,"Feb 15, 2019",4,Non-WARN,,,1 - Workforce Investment Area I,,1952,https://www.kansasworks.com/search/warn_lookups/1952
Taylor Communications,"Feb 27, 2019",76,WARN,,,4 - Workforce Investment Area IV,,1953,https://www.kansasworks.com/search/warn_lookups/1953
ShopKo,"Feb 19, 2019",15,Non-WARN,,,1 - Workforce Investment Area I,,1954,https://www.kansasworks.com/search/warn_lookups/1954
St. John's Military School,"Feb 06, 2019",,Non-WARN,,,1 - Workforce Investment Area I,,1955,https://www.kansasworks.com/search/warn_lookups/1955
Payless Shoes,"Feb 15, 2019",4,Non-WARN,,,1 - Workforce Investment Area I,,1956,https://www.kansasworks.com/search/warn_lookups/1956
Payless Shoes,"Feb 15, 2019",6,Non-WARN,,,1 - Workforce Investment Area I,,1957,https://www.kansasworks.com/search/warn_lookups/1957
Walmart,"Mar 20, 2019",,WARN,,,1 - Workforce Investment Area I,,1958,https://www.kansasworks.com/search/warn_lookups/1958
NWI Kansas City LLC,"Mar 19, 2019",92,WARN,,,3 - Workforce Investment Area III,,1959,https://www.kansasworks.com/search/warn_lookups/1959
ShopKo,"Jan 28, 2019",16,Non-WARN,,,1 - Workforce Investment Area I,,1960,https://www.kansasworks.com/search/warn_lookups/1960
Oswego Home Place Senior Living,"Mar 21, 2019",22,Non-WARN,,,5 - Workforce Investment Area V,,1961,https://www.kansasworks.com/search/warn_lookups/1961
NuWa Industries,"Mar 25, 2019",,Non-WARN,,,5 - Workforce Investment Area V,,1962,https://www.kansasworks.com/search/warn_lookups/1962
Payless Shoes,"Feb 15, 2019",2,Non-WARN,,,1 - Workforce Investment Area I,,1963,https://www.kansasworks.com/search/warn_lookups/1963
