,company_name,location,notice_date,employees_affected
365,Husqvarna Group,Orangeburg,03/06/2016,84.0
366,CHEP Recycled,Simpsonville,01/16/2016,
367,Century Aluminum,Goose Creek,07/31/2016,250.0
368,Dial America,N. Charleston,01/11/2016,150.0
369,Dillard’s Inc.,Aiken,03/20/2016,73.0
370,Walmart,Winnsboro,04/15/2016,165.0
371,Wells Fargo,Fort Mill,04/03/2016,66.0
372,Honeywell,Goose Creek,03/03/2016,180.0
373,CoreLogic,Columbia,05/16/2016,77.0
374,Amarak,Greenville,05/31/2016,172.0
375,Wells Fargo,Fort Mill,06/15/2016,1.0
376,Baldor Electric,Clio,06/09/2016,60.0
377,Wells Fargo,Fort Mill,07/16/2016,9.0
378,Southern Season,Mount Pleasant,07/02/2016,96.0
379,Sealed Air,Greenville,08/26/2016,62.0
380,Spartan Foods,Greenville,10/14/2016,123.0
381,Citi,Mount Pleasant,09/15/2016,28.0
382,Wells Fargo,Fort Mill,07/13/2016,6.0
383,Baldor Electric,Clio,09/19/2016,4.0
384,JPS Composites,Slater,09/30/2016,103.0
385,SoPakCo,Mullins,08/26/2016,116.0
386,Caterpillar,Newberry,11/11/2016,10.0
387,Hubbell,Cowpens,12/01/2016,55.0
388,WestRock,Latta,11/01/2016,99.0
389,Baldor Electric,Clio,11/30/2016,7.0
390,JPS Composites,Slater,10/31/2016,69.0
391,Stryker Communications,N. Charleston,12/31/2016,88.0
392,Impresa Aerospace,Goose Creek,12/31/2016,20.0
393,Amazon,North Charleston,02/15/2017,149.0
394,CB&I Shaw Constructors,Jenkinsville,01/29/2015,176.0
395,Bank of America,Columbia,01/31/2015,68.0
396,Tyonek Services Group,Beaufort,03/31/2015,11.0
397,Milliken & Company,Judson,04/13/2015,199.0
398,Jacobs,Goose Creek,07/10/2015,60.0
399,Sodexo,Florence,06/30/2015,54.0
400,Worthington,Florence,06/01/2015,308.0
401,UTI,N. Charleston,07/31/2015,100.0
402,Bose,Blythewood,09/18/2015,300.0
403,"DTZ, Inc.",Orangeburg,06/30/2015,100.0
404,Piedmont Health Group,Greenwood,07/01/2015,129.0
405,Wells Fargo & Co.,Columbia,04/29/2015,51.0
406,Honeywell,Goose Creek,07/15/2015,337.0
407,Mohawk Industries,Landrum,12/31//2015,150.0
408,ArcelorMital,Georgetown,07/24/2015,198.0
409,ESAB,Florence,03/31/2016,319.0
410,Aiken/Barnwell CountiesCommunity Action Agcy.,Aiken,06/30/2015,82.0
411,Urban Outfitters,Trenton,08/18/2015,327.0
412,First Citizens,Columbia,09/01/2015,77.0
413,Pillar Hotels & Resorts,Charleston,09/01/2015,52.0
414,Sodexo,Orangeburg,08/03/2015,94.0
415,Hill-Rom Holdings Inc.,Charleston,09/15/2015,70.0
416,UTi,Lugoff,08/24/2015,120.0
417,CTS (Coyne TextileServices),Greenville,10/31/2015,66.0
418,UnitedHealth Group,Duncan,10/31/2015,85.0
419,Wells Fargo & Co,Fort Mill,11/15/2015,103.0
420,Belk,Union,01/15/2016,28.0
421,Maxim Healthcare Services,Columbia,12/15/2015,130.0
422,Century Aluminum,Mount Holly,12/22/2015,487.0
423,Consumers Choice,"Columbia,Greenville, NorthCharleston",11/30/2015,82.0
424,Carolina Furniture,Sumter,01/06/2014,68.0
425,"American LaFrance, LLC",Moncks Corner,02/04/2014,101.0
426,Gannett Publishing Services,Greenville,05/05/2014,117.0
427,"Champion Laboratories,Inc. (Fram)",York,07/18/2014,229.0
428,Bi-Lo Holdings,Orangeburg,05/31/2014,54.0
429,"SSP America, Inc.",Charleston,05/31/2014,63.0
430,Metrolina Greenhouses,Pendleton,05/31/2014,57.0
431,Amcor Rigid Plastics,Blythewood,06/09/2014,41.0
432,"Jostens, Inc",Laurens,09/30/2014,67.0
433,Pepsi Beverages Company,Columbia,05/12/2014,104.0
434,General Dynamics,Ladson,07/01/2014,153.0
435,Caterpillar,107 Fountain Inn,12/31/2014,235.0
436,Caterpillar,111 Fountain Inn,12/31/2014,120.0
437,Nevamar,Hampton,10/12/2014,236.0
438,Mundy Maintenance,Greenwood,10/26/2014,136.0
439,Belk,Columbia,01/15/2015,92.0
440,Faurecia,Spartanburg,12/05/2014,99.0
441,ResMed,Spartanburg,06/30/2015,49.0
442,Bank of America,Columbia,01/31/2015,68.0
443,"HGM, Haile Gold Mine,Inc.",Kershaw,02/13/2015,50.0
444,Fast Lane of Rock Hill,Rock Hill,2/25/2013,31.0
445,SafeAuto InsuranceCompany,Hemingway,3/19/2013,164.0
446,Titanium Holdings,Fort Mill,3/31/2013,95.0
447,Bi-Lo,Greenville,4/17/2013,130.0
