,company_name,location,notice_date,employees_affected,WARN Type,Address,URL
140,Dr. Clay Sligh,,"Dec 03, 2018",4.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1926
141,"Teva Pharmaceuticals USA, Inc.",,"Jan 25, 2018",57.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1890
142,Payless Shoesource,,"Jan 26, 2018",,WARN,,https://www.kansasworks.com/search/warn_lookups/1891
143,Siemens,,"Jan 30, 2018",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1893
144,Sprint,,"Mar 09, 2018",120.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1894
145,Kmart,,"Jan 04, 2018",60.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1895
146,Babies R Us,,"Jan 23, 2018",25.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1896
147,Sprint,,"Mar 20, 2018",,WARN,,https://www.kansasworks.com/search/warn_lookups/1898
148,MB Financial Bank,,"Apr 25, 2018",63.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1899
149,Durham School Services,,"Apr 25, 2018",97.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1900
150,Fleetcor,,"Apr 17, 2018",30.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1901
151,Dean & Deluca,,"May 10, 2018",,WARN,,https://www.kansasworks.com/search/warn_lookups/1902
152,"Premiere Global Services, Inc.",,"May 21, 2018",,WARN,,https://www.kansasworks.com/search/warn_lookups/1903
153,Sprint,,"May 25, 2018",59.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1904
154,Toys R Us,,"Mar 15, 2018",21.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1905
155,"Pace Analytical Services, LLC",,"May 25, 2018",11.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1906
156,Walmart,,"Jul 09, 2018",,WARN,,https://www.kansasworks.com/search/warn_lookups/1907
157,Pace Analytical Services,,"May 25, 2018",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1908
158,CSRA,,"Aug 01, 2018",74.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1909
159,Bombardier Learjet,,"Aug 03, 2018",46.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1910
160,Heroux-Devtek/APPH,,"Jul 12, 2018",2.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1912
161,Kansa Technology,,"Aug 13, 2018",13.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1913
162,Holiday Resort,,"Sep 11, 2018",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1914
163,Anthem,,"Oct 18, 2018",287.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1915
164,"Pacific Sunwear of California, LLC",,"Oct 23, 2018",121.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1916
165,"Mercy Health Kansas Communities, Inc., d/b/a Mercy",,"Oct 26, 2018",327.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1918
166,Tischlerei,,"Nov 01, 2018",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1919
167,"Hooper Holmes, Inc.",,"Nov 01, 2018",99.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1920
168,Brinks Home Security,,"Nov 06, 2018",96.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1921
169,Formation Plastics,,"Dec 03, 2018",32.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1922
170,K-Mart,,"Oct 15, 2018",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1923
171,Midwest Pathology Consultants,,"Dec 06, 2018",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1924
172,Shopko Hometown,,"Dec 03, 2018",13.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1928
173,Big Lots,,"Dec 03, 2018",19.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1929
174,Sears Hometown,,"Dec 07, 2018",5.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1969
175,Sears,,"Dec 27, 2018",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1970
176,Pro-Bound Spports,,"Jan 05, 2017",4.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1839
177,Learjet,,"Jan 23, 2017",42.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1840
178,Aero-Mach Labs,,"Jan 25, 2017",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1841
179,K-Mart,,"Jan 04, 2017",50.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1842
180,Wichita Eagle,,"Jan 19, 2017",14.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1843
181,Sears,,"Jan 06, 2017",40.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1844
182,Philips Lighting,,"Jan 31, 2017",,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1845
183,Via Christi Health,,"Feb 10, 2017",32.0,WARN,,https://www.kansasworks.com/search/warn_lookups/1846
184,Red Guard,Halstead,"Mar 14, 2017",25.0,Non-WARN,"920 W. 2nd; Halstead, Kansas 67056",https://www.kansasworks.com/search/warn_lookups/1848
185,Vanity,,"Mar 10, 2017",7.0,Non-WARN,,https://www.kansasworks.com/search/warn_lookups/1849
186,Amazon,,"Mar 29, 2017",,WARN,,https://www.kansasworks.com/search/warn_lookups/1850
