,company_name,location,notice_date,layoff_date,employees_affected,Closure or Layoff,Type of Layoff
273,Hyatt Corporation / Hyatt Regency Seattle,Seattle,5/27/2020,5/31/2020,276,Layoff,Temporary
274,Hyatt Corporation / Grand Hyatt Seattle,Seattle,5/27/2020,5/30/2020,152,Layoff,Temporary
275,Hyatt Corporation / Grand Hyatt Seattle,Seattle,5/27/2020,5/30/2020,58,Layoff,Permanent
276,Hyatt Corporation / Hyatt at Olive 8,Seattle,5/27/2020,5/29/2020,123,Layoff,Temporary
277,Hyatt Corporation / Hyatt at Olive 8,Seattle,5/27/2020,5/29/2020,29,Layoff,Permanent
278,"Gate Gourmet, Inc",Seattle,5/20/2020,5/20/2020,207,Layoff,Permanent
279,YMCA of Greater Seattle,Seattle,5/19/2020,5/9/2020,122,Layoff,Temporary
280,Renaissance Seattle Hotel,Seattle,5/19/2020,6/1/2020,190,Layoff,Permanent
281,"WeDriveU, Inc",Renton and Mukilteo,5/15/2020,5/15/2020,73,Closure,Permanent
282,Saalex Solutions Inc,Keyport,5/15/2020,7/31/2020,51,Layoff,Permanent
283,"Flying Food Group, LLC",Seattle,5/14/2020,4/17/2020,153,Layoff,Permanent
284,Electro Rent Corporation,Redmond,5/13/2020,5/13/2020,1,Layoff,Temporary
285,Cox Automotive,Kent,5/11/2020,5/17/2020,123,Layoff,Temporary
286,"Crest Logistics, LLC","Burbank, WA",5/11/2020,5/11/2020,68,Closure,Permanent
287,Lee Johnson Auto Family,"Everett, Kirkland, and Monroe",5/8/2020,3/30/2020,169,Layoff,Temporary
288,"Visionworks, Inc","Spokane, Vancouver, and Renton",5/7/2020,4/4/2020,28,Layoff,Temporary
