,company_name,location,notice_date,employees_affected,URL
136,KDC Construction,Tempe,"Mar 20, 2020",20.0,https://www.azjobconnection.gov/search/warn_lookups/413
137,Ares Collective Restaurants,Tucson,"Mar 23, 2020",180.0,https://www.azjobconnection.gov/search/warn_lookups/414
138,Four Seasons Resort,Scottsdale,"Mar 20, 2020",422.0,https://www.azjobconnection.gov/search/warn_lookups/415
139,Islands Restaurants,Phoenix,"Mar 23, 2020",250.0,https://www.azjobconnection.gov/search/warn_lookups/419
140,Sub-Zero Group Inc,Goodyear,"Mar 20, 2020",446.0,https://www.azjobconnection.gov/search/warn_lookups/420
141,International Cruise & Excursion Gallery,Scottsdale,"Mar 24, 2020",203.0,https://www.azjobconnection.gov/search/warn_lookups/421
142,"Cameron Mitchell Restaurants, LLC",Phoenix,"Mar 24, 2020",75.0,https://www.azjobconnection.gov/search/warn_lookups/422
143,Movement for Life Inc.,Multiple,"Mar 25, 2020",,https://www.azjobconnection.gov/search/warn_lookups/423
144,Surprise Honda,,"Mar 25, 2020",16.0,https://www.azjobconnection.gov/search/warn_lookups/424
145,Denny's (Beshay Enterprises),Phoenix,"Mar 23, 2020",66.0,https://www.azjobconnection.gov/search/warn_lookups/428
146,Denny's (Beshay Enterprises),Phoenix,"Mar 23, 2020",65.0,https://www.azjobconnection.gov/search/warn_lookups/429
147,Denny's (Beshay Enterprises),Glendale,"Mar 23, 2020",49.0,https://www.azjobconnection.gov/search/warn_lookups/430
148,Denny's (Beshay Enterprises),Thatcher,"Mar 23, 2020",62.0,https://www.azjobconnection.gov/search/warn_lookups/431
149,Denny's (Beshay Enterprises),Eloy,"Mar 23, 2020",54.0,https://www.azjobconnection.gov/search/warn_lookups/432
150,Best Western Hotels & Resorts,,"Mar 25, 2020",31.0,https://www.azjobconnection.gov/search/warn_lookups/433
151,Phoenix Glendale Renaissance,Glendale,"Mar 26, 2020",140.0,https://www.azjobconnection.gov/search/warn_lookups/435
152,Tucson Marriott University park,Tucson,"Mar 26, 2020",86.0,https://www.azjobconnection.gov/search/warn_lookups/436
153,Drive Time,Phoenix,"Mar 27, 2020",,https://www.azjobconnection.gov/search/warn_lookups/437
154,Surprise Honda,Surprise,"Mar 24, 2020",16.0,https://www.azjobconnection.gov/search/warn_lookups/438
155,Tanque Verde Ranch,,"Mar 27, 2020",147.0,https://www.azjobconnection.gov/search/warn_lookups/439
156,piana Nonwovens,Yuma,"Mar 31, 2020",7.0,https://www.azjobconnection.gov/search/warn_lookups/440
157,Holiday Inn Hotels,Yuma,"Mar 31, 2020",,https://www.azjobconnection.gov/search/warn_lookups/441
158,McCormick Scottsdale,Scottsdale,"Mar 30, 2020",65.0,https://www.azjobconnection.gov/search/warn_lookups/442
159,King's Seafood Company LLC,Tempe,"Mar 24, 2020",50.0,https://www.azjobconnection.gov/search/warn_lookups/443
160,Saddle Ranch Chop House,Glendale,"Mar 27, 2020",84.0,https://www.azjobconnection.gov/search/warn_lookups/444
161,TENET Healthcare Corp.,Phoenix,"Mar 04, 2019",1.0,https://www.azjobconnection.gov/search/warn_lookups/277
162,Conifer Health Solutions,Phoenix,"Feb 28, 2019",2.0,https://www.azjobconnection.gov/search/warn_lookups/290
163,Alorica,Tucson,"Jan 25, 2019",227.0,https://www.azjobconnection.gov/search/warn_lookups/314
164,Hot Rods & Beer,Yuma,"Jan 01, 2019",15.0,https://www.azjobconnection.gov/search/warn_lookups/330
165,Concentrix Corporation,Tucson,"Apr 05, 2019",785.0,https://www.azjobconnection.gov/search/warn_lookups/319
166,Safeway #1985,Tucson,"Jan 04, 2019",,https://www.azjobconnection.gov/search/warn_lookups/322
167,Invitation Homes,Scottsdale,"Jan 16, 2019",51.0,https://www.azjobconnection.gov/search/warn_lookups/324
168,Sodexo,Phoenix,"Jan 18, 2019",49.0,https://www.azjobconnection.gov/search/warn_lookups/325
169,Tesla,Phoenix,"Jan 29, 2019",58.0,https://www.azjobconnection.gov/search/warn_lookups/326
170,Web.com group Inc,Scottsdale,"Feb 01, 2019",11.0,https://www.azjobconnection.gov/search/warn_lookups/327
171,Combat Tactical Training Range,,"Feb 07, 2019",52.0,https://www.azjobconnection.gov/search/warn_lookups/328
172,Convey Health Solutions,Yuma,"Jan 01, 2019",100.0,https://www.azjobconnection.gov/search/warn_lookups/331
173,Western Refining,Tempe,"Apr 10, 2019",37.0,https://www.azjobconnection.gov/search/warn_lookups/333
174,Systems Solutions of Kentucky,,"Feb 19, 2019",,https://www.azjobconnection.gov/search/warn_lookups/334
175,Valassis,Phoenix,"Oct 23, 2019",92.0,https://www.azjobconnection.gov/search/warn_lookups/374
176,General Dynamics Information Technology,Sierra Vista,"Feb 26, 2019",201.0,https://www.azjobconnection.gov/search/warn_lookups/337
177,Target Corporation,Tucson,"Mar 01, 2019",113.0,https://www.azjobconnection.gov/search/warn_lookups/339
178,Spectrum Pharmaceuticals,Henderson,"Mar 01, 2019",,https://www.azjobconnection.gov/search/warn_lookups/340
179,Family dry Cleaners,,"Feb 01, 2019",40.0,https://www.azjobconnection.gov/search/warn_lookups/341
180,DialAmerica Marketing,Phoenix,"Mar 04, 2019",182.0,https://www.azjobconnection.gov/search/warn_lookups/342
181,Dexcom,Mesa,"Feb 26, 2019",160.0,https://www.azjobconnection.gov/search/warn_lookups/343
182,Arizona Daily Star,Tucson,"Mar 21, 2019",,https://www.azjobconnection.gov/search/warn_lookups/344
183,Raytheon,Sierra Vista,"Mar 28, 2019",176.0,https://www.azjobconnection.gov/search/warn_lookups/345
184,Radisson Suites Hotel Tucson,Tucson,"Mar 29, 2019",82.0,https://www.azjobconnection.gov/search/warn_lookups/346
185,Spectra -Blue Water Resort & Casino,Parker,"Apr 01, 2019",128.0,https://www.azjobconnection.gov/search/warn_lookups/347
186,Albertsons,Phoenix,"Jan 05, 2018",76.0,https://www.azjobconnection.gov/search/warn_lookups/284
187,Sams Club,Chandler,"Jan 11, 2018",150.0,https://www.azjobconnection.gov/search/warn_lookups/285
188,Sams Club,Prescott Valley,"Jan 11, 2018",137.0,https://www.azjobconnection.gov/search/warn_lookups/287
189,Sams Club,Scottsdale,"Jan 11, 2018",129.0,https://www.azjobconnection.gov/search/warn_lookups/288
190,National Residential Mortgage,Scottsdale,"Feb 07, 2018",54.0,https://www.azjobconnection.gov/search/warn_lookups/289
191,Western Refining,Tempe,"Feb 28, 2018",,https://www.azjobconnection.gov/search/warn_lookups/291
192,Boyd Coffee Company,Tempe,"Mar 22, 2018",4.0,https://www.azjobconnection.gov/search/warn_lookups/292
193,Rockwell Collins,Tucson,"Mar 26, 2018",413.0,https://www.azjobconnection.gov/search/warn_lookups/293
194,Marriott,Phoenix,"Apr 03, 2018",414.0,https://www.azjobconnection.gov/search/warn_lookups/294
195,"ACS, LLC",Yuma,"Feb 21, 2018",,https://www.azjobconnection.gov/search/warn_lookups/295
196,Schletter Inc.,Tucson,"Apr 25, 2018",16.0,https://www.azjobconnection.gov/search/warn_lookups/296
197,Direct Energy,Tempe,"Apr 30, 2018",195.0,https://www.azjobconnection.gov/search/warn_lookups/297
198,TSI corporation,Las Vegas,"May 29, 2018",110.0,https://www.azjobconnection.gov/search/warn_lookups/298
199,UBER,Tempe,"May 29, 2018",,https://www.azjobconnection.gov/search/warn_lookups/299
200,Hawrhorne Gardening,,"Jun 06, 2018",76.0,https://www.azjobconnection.gov/search/warn_lookups/300
201,AT&T,Phoenix,"Jun 14, 2018",85.0,https://www.azjobconnection.gov/search/warn_lookups/301
202,Interagency Council,Lake havasu City,"Jun 13, 2018",15.0,https://www.azjobconnection.gov/search/warn_lookups/302
203,Albertsons Store 959,Tucson,"Jun 18, 2018",,https://www.azjobconnection.gov/search/warn_lookups/303
204,Safeway 1636,Glendale,"Jun 18, 2018",61.0,https://www.azjobconnection.gov/search/warn_lookups/304
205,Safeway 1202,Pheonix,"Jun 18, 2018",55.0,https://www.azjobconnection.gov/search/warn_lookups/305
206,Marvell Semiconductors Inc.,Chandler,"Jul 09, 2018",2.0,https://www.azjobconnection.gov/search/warn_lookups/306
207,C & W Services,Phoenix,"Jul 03, 2018",,https://www.azjobconnection.gov/search/warn_lookups/307
208,Abrazo Scottsdale Campus,Phoenix,"Jul 13, 2018",49.0,https://www.azjobconnection.gov/search/warn_lookups/308
209,World Pay (Bantiv),Chandler,"Aug 29, 2018",15.0,https://www.azjobconnection.gov/search/warn_lookups/309
210,GenRx Phamacy,Scottsdale,"Sep 19, 2018",123.0,https://www.azjobconnection.gov/search/warn_lookups/310
211,Suddenlink Communications,Lake Havasu,"Aug 03, 2017",50.0,https://www.azjobconnection.gov/search/warn_lookups/276
212,Phoenix Health Plans,Phoenix,"May 15, 2017",33.0,https://www.azjobconnection.gov/search/warn_lookups/257
213,Conifer Health Solutions,Phoenix,"Jul 14, 2017",29.0,https://www.azjobconnection.gov/search/warn_lookups/258
214,Albertson Company #1026,,"Jan 06, 2017",77.0,https://www.azjobconnection.gov/search/warn_lookups/260
215,Albertson Company #966,,"Jan 06, 2017",77.0,https://www.azjobconnection.gov/search/warn_lookups/261
216,Albertson Company #969,,"Jan 06, 2017",,https://www.azjobconnection.gov/search/warn_lookups/262
217,Zenefits,Tempe,"Feb 09, 2017",165.0,https://www.azjobconnection.gov/search/warn_lookups/263
218,Whole Foods,,"Feb 10, 2017",55.0,https://www.azjobconnection.gov/search/warn_lookups/264
219,Fortune Plactics,Glendale,"Feb 21, 2017",39.0,https://www.azjobconnection.gov/search/warn_lookups/266
220,American Airlines,Phoenix,"Mar 24, 2017",,https://www.azjobconnection.gov/search/warn_lookups/267
221,Manpower Group,Tempe,"Mar 17, 2017",53.0,https://www.azjobconnection.gov/search/warn_lookups/268
222,Dollar Express Stores LLC #5993,Tucson,"Mar 30, 2017",8.0,https://www.azjobconnection.gov/search/warn_lookups/269
223,Dollar Express Store LLC #5172,Lake Havasu,"Mar 30, 2017",5.0,https://www.azjobconnection.gov/search/warn_lookups/271
224,Da Vita Rx,Chandler,"Apr 19, 2017",83.0,https://www.azjobconnection.gov/search/warn_lookups/272
225,"Royal Remanufacturing, LLC",Glendale,"Apr 25, 2017",52.0,https://www.azjobconnection.gov/search/warn_lookups/273
226,Kellogg's,Phoenix,"May 26, 2017",180.0,https://www.azjobconnection.gov/search/warn_lookups/274
227,"SCA Tissue NA, LLC",,"Jun 08, 2017",,https://www.azjobconnection.gov/search/warn_lookups/275
228,Western Refining,Tempe,"Aug 02, 2017",23.0,https://www.azjobconnection.gov/search/warn_lookups/278
229,Rockwell collins,,"Oct 19, 2017",28.0,https://www.azjobconnection.gov/search/warn_lookups/279
230,Unitedhealth Group,,"Nov 02, 2017",381.0,https://www.azjobconnection.gov/search/warn_lookups/280
231,Cornbread Ventures DBA T Zejas,,"Oct 23, 2017",58.0,https://www.azjobconnection.gov/search/warn_lookups/282
232,Marriott,Scottsdale,"Nov 29, 2017",20.0,https://www.azjobconnection.gov/search/warn_lookups/283
233,Xchange Leasing LLC (XCL),,"Oct 31, 2017",228.0,https://www.azjobconnection.gov/search/warn_lookups/281
234,Dolar Express Store LLC #5172,Lake Havasu,"Apr 13, 2017",,https://www.azjobconnection.gov/search/warn_lookups/270
235,"Philidor Rx Services, LLC",Phoenix,"Jan 05, 2016",264.0,https://www.azjobconnection.gov/search/warn_lookups/225
