,company_name,location,notice_date,layoff_date,employees_affected,Formal Name,City,State,Zip
1638,"VENTURE STORES, INC.",500 RIVER OAKS WEST ,4/27/1998,,141,"VENTURE STORES, INC.",CALUMET CITY,IL,60409-5406
1639,"VENTURE STORES, INC.",13200 S CICERO AVENUE ,4/27/1998,,81,"VENTURE STORES, INC.",CRESTWOOD,IL,60445-1426
1640,"VENTURE STORES, INC.",140 COUNTRYSIDE PLAZA ,4/27/1998,,81,"VENTURE STORES, INC.",COUNTRYSIDE,IL,60525-3981
1641,"VENTURE STORES, INC.",7600 WEST ROOSEVELT ROAD ,4/27/1998,,110,"VENTURE STORES, INC.",FOREST PARK,IL,60130
1642,"VENTURE STORES, INC.",17920 S HALSTED STREET ,4/27/1998,,76,"VENTURE STORES, INC.",HOMEWOOD,IL,60430
1643,"VENTURE STORES, INC.",21000 S CICERO AVENUE ,4/27/1998,,81,"VENTURE STORES, INC.",MATTESON,IL,60443-1601
1644,"VENTURE STORES, INC.",2031 N MANNHEIM ,4/27/1998,,85,"VENTURE STORES, INC.",MELROSE PARK,IL,60160-1003
1645,"VENTURE STORES, INC.",4201 N HARLEM AVENUE ,4/27/1998,,151,"VENTURE STORES, INC.",NORRIDGE,IL,60706-1212
1646,"VENTURE STORES, INC.",4101 WEST 95TH STREET ,4/27/1998,,162,"VENTURE STORES, INC.",OAK LAWN,IL,60453
1647,"VENTURE STORES, INC.",15701 S HARLEM ,4/27/1998,,92,"VENTURE STORES, INC.",ORLAND PARK,IL,60462
1648,"VENTURE STORES, INC.",750 E RAND ROAD ,4/27/1998,,72,"VENTURE STORES, INC.",ARLINGTON HGTS,IL,60004-4006
1649,"VENTURE STORES, INC.",1500 SOUTH ELMHURST ROAD ,4/27/1998,,76,"VENTURE STORES, INC.",MOUNT PROSPECT,IL,60056-5205
1650,"VENTURE STORES, INC.",8500 W GOLF ROAD ,4/27/1998,,87,"VENTURE STORES, INC.",NILES,IL,60714-1154
1651,Greene County Correctional Center,"Rural Route 3, Box 25 ",8/7/2002,,75,Greene County Correctional Center,Roodhouse,IL,62082
1652,"VENTURE STORES, INC.",1311 EAST GOLF ROAD ,4/27/1998,,76,"VENTURE STORES, INC.",SCHAUMBURG,IL,60173-4803
1653,"VENTURE STORES, INC.",9449 SKOKIE BLVD ,4/27/1998,,111,"VENTURE STORES, INC.",SKOKIE,IL,60077-1312
1654,"VENTURE STORES, INC.",5033 NORTH ELSTON ,4/27/1998,,141,"VENTURE STORES, INC.",CHICAGO,IL,60630-1707
1655,"VENTURE STORES, INC.",2060 W PETERSON ,4/27/1998,,136,"VENTURE STORES, INC.",CHICAGO,IL,60659-4307
1656,"VENTURE STORES, INC.",1740 N KOSTNER AVENUE ,4/27/1998,,183,"VENTURE STORES, INC.",CHICAGO,IL,60639-4703
