,company_name,location,notice_date,employees_affected,Incident Type
470,Kmart,Statewide,1/5/2017,194,Plant Closing
471,Focus: HOPE Companies Inc.,Detroit,1/9/2017,120,Mass Layoff
472,Weir Delta Industrial Valves,Niles,1/11/2017,56,Plant Closing
473,Kellogg's Detroit Distribution Center,New Hudson,5/26/2017,211,Plant Closing
474,Android,Detroit,1/25/2017,10,Mass Layoff
475,Yanfeng,Monroe,1/26/2017,321,Mass Layoff
476,"Inovalon, Inc.",Lansing,1/27/2017,118,Plant Closing
477,Alamo Drafthouse Cinema,Kalamazoo,2/1/2017,109,Plant Closing
478,International Specialty Tube,Detroit,2/3/2017,114,Plant Closing
479,"Penske Vehicle Services, Inc.",Statewide,2/6/2017,166,Mass Layoff
480,MC Sporting Goods,Grand Rapids,2/8/2017,250,Plant Closing
481,Yanfeng,Delta Twp.,2/17/2017,285,Plant Closing
482,Inteva Products,Adrian,2/22/2017,160,Mass Layoff
483,Family Christian Bookstores,Grand Rapids,2/24/2017,170,Plant Closing
484,GM - Lansing Ass'y (Delta),Lansing,3/6/2017,"1,146",Mass Layoff
485,Miner's Inc. (Super One Foods),Escanaba,3/7/2017,75,Plant Closing
486,AT&T DSL Care Center,Detroit,3/15/2017,53,Plant Closing
487,Civil & Environmental Consultants (CEC),Novi,3/16/2017,8,Plant Closing
488,Suniva,Saginaw Twp.,3/30/2017,59,Mass Layoff
489,RevSpring,Wixom,3/31/2017,52,Mass Layoff
490,A123 Systems,Romulus,4/3/2017,55,Mass Layoff
491,A123 Systems,Livonia,4/3/2017,75,Mass Layoff
492,Sodexo,Detroit,4/3/2017,52,Mass Layoff
493,CEVA Logistics U.S.,Redford,4/3/2017,188,Mass Layoff
494,Dollar Express,Statewide,4/3/2017,185,Plant Closing
495,Linear AMS,Livonia,4/24/2017,40,Mass Layoff
496,First Student,Flat Rock,4/25/2017,61,Plant Closing
497,Woodward Academy,Detroit,5/1/2017,65,Plant Closing
498,Sun Pharmaceutical Industries,Wixom,5/3/2017,25,Mass Layoff
499,Huntington Bank,Holland,5/12/2017,115,Plant Closing
500,Durham School Services,Southfield,5/4/2017,118,Mass Layoff
501,Comcast,Wixom,5/23/2017,72,Plant Closing
502,Durham School Services,Romulus,5/26/2017,0,Mass Layoff
503,B&B Bachrach,Auburn Hills,6/1/2017,5,Plant Closing
504,Dematic,Grand Rapids,7/3/2017,204,Mass Layoff
505,Fiat Chrysler Automobiles,Detroit,7/3/2017,82,Plant Closing
506,Kindred Hospital,Detroit,7/20/2017,145,Plant Closing
507,DEX YP,Madison Heights,7/31/2017,108,Plant Closing
508,Adient USA,Auburn Hills,7/31/2017,129,Plant Closing
509,Molina Medical,Dearborn,8/1/2017,120,Plant Closing
510,Great Lakes Wine & Spirits,Petoskey,8/14/2017,101,Plant Closing
511,Dairy Fresh Foods (Detroit City Dairy),Taylor,8/15/2017,180,Plant Closing
512,Genpact,Farmington Hills,8/22/2017,104,Plant Closing
513,Arvato Digital Services,Farmington Hills,8/23/2017,72,Plant Closing
514,People's Bank - National Mortgage Business Division,Southfield,9/18/2017,62,Plant Closing
515,Thrift Books - Detroit Processing Center,Riverview,10/4/2017,,Plant Closing
516,Home Rehabilitative Services of Michigan,Commerce Twp.,10/16/2017,113,Plant Closing
517,Automotive Components Carrier,Flint,10/11/2017,60,Plant Closing
518,Southwest Solutions,Detroit,10/31/2017,,Mass Layoff
519,Zenith Education Group (Everest Institute),Southfield,11/7/2017,70,Plant Closing
520,Yanfeng,Highland Park,11/27/2017,345,Mass Layoff
521,Datapak Services Corporation,Howell,12/7/2017,61,Plant Closing
522,Dematic,Grand Rapids,1/7/2016,305,Mass Layoff
523,"ViSalus, Inc.",Troy,1/11/2016,87,Mass Layoff
524,Minacs Group,Farmington Hills,1/12/2016,385,Mass Layoff
525,Sam's Club,Waterford,1/15/2016,122,Plant Closing
526,WalMart,Hartland,1/15/2016,0,Plant Closing
527,McLaren Medical Group,Statewide,2/2/2016,63,Mass Layoff
528,Bronson Precision Products,Bronson,2/16/2016,125,Plant Closing
529,Grand Rapids Plastics,Grand Rapids,2/26/2016,85,Mass Layoff
530,MidMichigan Health - Gladwin Pines,Gladwin,2/26/2016,85,Plant Closing
531,MidMichigan Health - Stratford Village,Midland,2/26/2016,143,Plant Closing
532,Maslow Media Company,Detroit,3/3/2016,1,Plant Closing
533,WKW Roof Rail Systems,Battle Creek,3/7/2016,160,Plant Closing
534,Fiat Chrysler Automobiles,Sterling Heights,4/7/2016,505,Mass Layoff
535,Cliffs Natural Resources,Palmer,4/14/2016,318,Plant Closing
536,Faurecia Interior Systems,Sterling Heights,4/27/2016,217,Mass Layoff
537,"Precision Motor Transport Group, LLC",Okemos,4/27/2016,24,Mass Layoff
538,Faurecia Interior Systems,Fraser,4/29/2016,47,Mass Layoff
539,Faurecia Interior Systems,Fraser,4/29/2016,193,Mass Layoff
540,Sodexo,Rochester,5/3/2016,99,Plant Closing
541,Ryder,Trenton,5/3/2016,160,Mass Layoff
542,Enviro-Clean,Troy,5/6/2016,94,Mass Layoff
543,McLaren Flint Food & Nutrition Service,Flint,5/16/2016,22,Mass Layoff
544,Bosch Emissions Systems US (BESU),Kentwood,5/18/2016,150,Plant Closing
545,Alphabroder,Niles,5/27/2016,92,Plant Closing
546,Xalt Energy,Midland,6/1/2016,100,Mass Layoff
547,Turning Point Youth Center,St. Johns,6/1/2016,120,Plant Closing
548,Frank W. Kerr,Novi,6/16/2016,60,Plant Closing
549,Dow Chemical Company,Midland,6/28/2016,700,Mass Layoff
550,Martinrea Hot Stamping,Detroit,7/1/2016,68,Mass Layoff
551,Zelenka Farms,Grand Haven,7/12/2016,300,Plant Closing
552,PAE,Wayne,7/18/2016,58,Mass Layoff
553,Dialog Direct (Nova 1),Grand Rapids,8/19/2016,106,Plant Closing
554,"ADP, LLC",Ann Arbor,9/27/2016,79,Plant Closing
555,Midwest Medical Management Services,Dearborn,9/27/2016,0,Mass Layoff
556,Midwest Medical Management Services,Detroit,9/27/2016,0,Mass Layoff
557,Faurecia Automotive Seating,Sterling Heights,10/10/2016,98,Mass Layoff
558,Experience Works,Statewide,11/7/2016,,Mass Layoff
559,GM - Lansing Grand River Ass'y Plant,Lansing,11/9/2016,443,Mass Layoff
560,"GM Subsystems Manufacturing, LLC",Lansing,11/9/2016,24,Mass Layoff
561,Comprehensive Logistics,"Lansing,",11/30/2016,144,Plant Closing
562,GM - Detroit Hamtramck Assembly Plant,Detroit,12/19/2016,1270,Mass Layoff
