,company_name,location,notice_date,layoff_date,employees_affected,Layoff Type
199,Phoenix Inn Suites,Salem,2020-04-08 00:00:00,2020-03-27 00:00:00,15.0,Reduction
200,Phoenix Inn Suites - Albany,Albany,2020-04-08 00:00:00,2020-03-27 00:00:00,13.0,Reduction
201,Phoenix Inn Suites - Lake Oswego,Lake Oswego,2020-04-08 00:00:00,2020-03-27 00:00:00,12.0,Reduction
202,Phoenix Inn Suites - Eugene,Eugene,2020-04-08 00:00:00,2020-03-27 00:00:00,21.0,Reduction
203,The Grand Hotel in Salem,Salem,2020-04-08 00:00:00,2020-03-27 00:00:00,26.0,Reduction
204,The Salem Convention Center,Salem,2020-04-08 00:00:00,2020-03-27 00:00:00,72.0,Reduction
205,Bentley's Grill,Salem,2020-04-08 00:00:00,2020-03-27 00:00:00,40.0,Reduction
206,The Grand Hotel at Bridgeport,Tigard,2020-04-08 00:00:00,2020-03-27 00:00:00,28.0,Reduction
207,Landmark Ford Lincoln,Tigard ,2020-04-03 00:00:00,2020-03-25 00:00:00,46.0,Temporary Layoff
208,EVRAZ - Portland,Portland,2020-04-06 00:00:00,2020-04-06 00:00:00,232.0,Reduction
209,Pac-12 Enterprises dba Pac-12 Networks,"San Francisco, CA",2020-04-03 00:00:00,2020-03-14 00:00:00,531.0,Other
210,Big Al's II,Beaverton,2020-03-18 00:00:00,2020-03-18 00:00:00,120.0,Temporary Layoff
211,Carr Auto Group,Beaverton,2020-04-03 00:00:00,2020-04-03 00:00:00,54.0,Temporary Layoff
212,Benihana,Beaverton,2020-04-02 00:00:00,2020-03-17 00:00:00,57.0,Reduction
213,RLK Co. Timberline Lodge,Government Camp,2020-04-01 00:00:00,2020-03-23 00:00:00,471.0,Reduction
214,Shamrock Foods Co.,Portland,2020-04-01 00:00:00,2020-04-01 00:00:00,8.0,Temporary Layoff
215,SAS Restaurant Ventures,Ontario,2020-03-31 00:00:00,2020-03-31 00:00:00,32.0,Temporary Layoff
216,Paper Source - Portland,Portland,2020-03-27 00:00:00,2020-03-29 00:00:00,13.0,Temporary Layoff
217,Paper Source - Tigard,Tigard ,2020-03-27 00:00:00,2020-03-29 00:00:00,13.0,Temporary Layoff
218,FXI Inc,Portland,2020-03-31 00:00:00,2020-03-27 00:00:00,77.0,Permanent closure
219,SAGE,Portland,2020-03-30 00:00:00,2020-06-19 00:00:00,226.0,Large Layoff - 10 or more workers
220,SAGE,Portland,2020-03-30 00:00:00,2020-03-22 00:00:00,332.0,Temporary Layoff
221,Courtyard Portland City Hotel,Portland,2020-03-30 00:00:00,2020-03-16 00:00:00,83.0,Temporary Layoff
222,Meritex Portland Central Laundry,Portland,2020-03-31 00:00:00,2020-04-02 00:00:00,50.0,Temporary Layoff
223,Ahern Rentals,Portland,2020-03-28 00:00:00,2020-03-30 00:00:00,1.0,Reduction
224,ORM Fertility,Portland,2020-03-24 00:00:00,2020-03-23 00:00:00,53.0,Temporary Layoff
225,Gee Automotive dba Ron Tonkin Toyota & ,Portland,2020-03-27 00:00:00,2020-03-25 00:00:00,63.0,Temporary Layoff
226,ALSCO - Medford ,Medford,2020-03-30 00:00:00,2020-03-23 00:00:00,5.0,Temporary Layoff
227,ALSCO - Klamath Falls,Klamath Falls,2020-03-30 00:00:00,2020-02-23 00:00:00,5.0,Temporary Layoff
228,Valley River Inn,Eugene,2020-03-26 00:00:00,2020-04-09 00:00:00,10.0,Temporary Layoff
229,Valley River Inn,Eugene,2020-03-26 00:00:00,2020-03-27 00:00:00,115.0,Temporary Layoff
230,ALSCO,Portland,2020-03-25 00:00:00,2020-04-24 00:00:00,31.0,Temporary Layoff
231,Deschutes Brewery Public Rooms ,Bend,2020-03-25 00:00:00,2020-03-16 00:00:00,248.0,Temporary Layoff
232,Deschutes Brewery - HQ,Bend,2020-03-25 00:00:00,2020-03-19 00:00:00,89.0,Reduction
233,ALSCO,Portland,2020-03-27 00:00:00,2020-03-25 00:00:00,9.0,Temporary Layoff
234,ALSCO,Portland,2020-03-27 00:00:00,2020-03-23 00:00:00,1.0,Temporary Layoff
235,ALSCO,Portland,2020-03-27 00:00:00,2020-03-20 00:00:00,1.0,Temporary Layoff
236,ALSCO,Portland,2020-03-27 00:00:00,2020-03-19 00:00:00,32.0,Temporary Layoff
237,Blazer Industries Inc,Aumsville,2020-03-26 00:00:00,2020-03-26 00:00:00,117.0,Temporary Layoff
238,Beaverton Toyota,Beaverton,2020-03-26 00:00:00,2020-03-26 00:00:00,78.0,Reduction
239,Staypineapple Hotel Rose and Bottle + K,Portland,2020-03-25 00:00:00,2020-03-20 00:00:00,29.0,Temporary Layoff
