,company_name,location,notice_date,employees_affected,URL
224,Covenant Health,,"Jul 31, 2019",73.0,https://joblink.maine.gov/search/warn_lookups/221
225,Silly's,,"Aug 23, 2019",10.0,https://joblink.maine.gov/search/warn_lookups/222
226,Lolita,,"Aug 14, 2019",0.0,https://joblink.maine.gov/search/warn_lookups/223
227,Mid-State Machine,,"Sep 06, 2019",,https://joblink.maine.gov/search/warn_lookups/224
228,Walgreens,,"Sep 05, 2019",10.0,https://joblink.maine.gov/search/warn_lookups/225
229,Kmart,"58 Western Ave; Augusta, Maine 04330","Sep 03, 2019",38.0,https://joblink.maine.gov/search/warn_lookups/226
230,Kmart,,"Sep 03, 2019",,https://joblink.maine.gov/search/warn_lookups/227
231,Castle Builders,,"Sep 06, 2019",23.0,https://joblink.maine.gov/search/warn_lookups/228
232,Point Lookout,,"Sep 20, 2019",75.0,https://joblink.maine.gov/search/warn_lookups/229
233,Yamas Bar and Grill,,"Oct 18, 2019",12.0,https://joblink.maine.gov/search/warn_lookups/230
234,Friend and Friend,,"Sep 27, 2019",,https://joblink.maine.gov/search/warn_lookups/231
235,Olympia Sports,,"Oct 18, 2019",0.0,https://joblink.maine.gov/search/warn_lookups/233
236,Bangor News and Gifts,,"Oct 18, 2019",0.0,https://joblink.maine.gov/search/warn_lookups/234
237,The Tan Turtle,,"Oct 18, 2019",0.0,https://joblink.maine.gov/search/warn_lookups/235
238,Olympia Sports,,"Oct 15, 2019",,https://joblink.maine.gov/search/warn_lookups/236
239,Cunningham Security,,"Oct 02, 2019",11.0,https://joblink.maine.gov/search/warn_lookups/237
240,Olympia Sports,,"Oct 10, 2019",10.0,https://joblink.maine.gov/search/warn_lookups/238
241,Olympia Sports,,"Nov 04, 2019",9.0,https://joblink.maine.gov/search/warn_lookups/239
242,Olympia Sports,,"Nov 04, 2019",,https://joblink.maine.gov/search/warn_lookups/240
243,Olympia Sports,,"Nov 04, 2019",10.0,https://joblink.maine.gov/search/warn_lookups/241
244,Victor News,,"Oct 03, 2019",4.0,https://joblink.maine.gov/search/warn_lookups/242
245,Olympia Sports Warehouse,,"Oct 29, 2019",75.0,https://joblink.maine.gov/search/warn_lookups/243
246,Edward H. Best,,"Nov 15, 2019",,https://joblink.maine.gov/search/warn_lookups/244
247,Family Dollar,,"Nov 21, 2019",,https://joblink.maine.gov/search/warn_lookups/245
248,A.C. Moore,,"Nov 27, 2019",35.0,https://joblink.maine.gov/search/warn_lookups/246
249,The Daniel,,"Nov 01, 2019",10.0,https://joblink.maine.gov/search/warn_lookups/247
250,Specialty Sweets,,"Oct 28, 2019",5.0,https://joblink.maine.gov/search/warn_lookups/248
251,Growers Express,,"Dec 29, 2019",93.0,https://joblink.maine.gov/search/warn_lookups/249
252,The County Diner,,"Dec 29, 2019",14.0,https://joblink.maine.gov/search/warn_lookups/260
253,A.C. Moore,,"Nov 26, 2019",15.0,https://joblink.maine.gov/search/warn_lookups/265
254,Staffing Solutions,,"Nov 26, 2019",,https://joblink.maine.gov/search/warn_lookups/266
255,Olympia Sports,,"Oct 10, 2019",,https://joblink.maine.gov/search/warn_lookups/267
256,Build A Bear,,"Jan 04, 2018",10.0,https://joblink.maine.gov/search/warn_lookups/117
257,Sears,,"Jan 08, 2018",46.0,https://joblink.maine.gov/search/warn_lookups/118
258,Toys R Us,,"Jan 24, 2018",,https://joblink.maine.gov/search/warn_lookups/119
259,Pac Sun,,"Jan 19, 2018",4.0,https://joblink.maine.gov/search/warn_lookups/120
260,Maine Cloth Diaper,,"Jan 22, 2018",3.0,https://joblink.maine.gov/search/warn_lookups/121
261,Nautel,,"Jan 29, 2018",100.0,https://joblink.maine.gov/search/warn_lookups/123
262,Downeast Corrections,,"Feb 09, 2018",,https://joblink.maine.gov/search/warn_lookups/124
263,Eastern Maine HealthSystems,,"Feb 15, 2018",6.0,https://joblink.maine.gov/search/warn_lookups/125
264,Bath Iron Works Local S6,,"Feb 09, 2018",57.0,https://joblink.maine.gov/search/warn_lookups/126
265,Mega Industries,,"Feb 26, 2018",6.0,https://joblink.maine.gov/search/warn_lookups/133
266,Thomas Moser,,"Feb 26, 2018",,https://joblink.maine.gov/search/warn_lookups/134
267,BIW,,"Feb 27, 2018",25.0,https://joblink.maine.gov/search/warn_lookups/135
268,ESOCO Orrington LLC,"29 Industrial Way; Orrington, Maine 04474","Mar 16, 2018",17.0,https://joblink.maine.gov/search/warn_lookups/136
269,Maine State Legislative Support,,"Mar 23, 2018",13.0,https://joblink.maine.gov/search/warn_lookups/137
270,Southern Kennebec Child Development  (SKCDC),,"Mar 26, 2018",,https://joblink.maine.gov/search/warn_lookups/138
271,Controlled Environment Equipment Corp.,,"Mar 28, 2018",12.0,https://joblink.maine.gov/search/warn_lookups/139
272,Bath Iron Works,,"Apr 10, 2018",31.0,https://joblink.maine.gov/search/warn_lookups/140
273,Rolandeau's Restaurant,,"May 10, 2018",10.0,https://joblink.maine.gov/search/warn_lookups/141
274,Stored Solar,,"Mar 30, 2018",,https://joblink.maine.gov/search/warn_lookups/142
275,Maine Military Authority,,"May 30, 2018",65.0,https://joblink.maine.gov/search/warn_lookups/143
276,Norway Laundry,,"Jun 19, 2018",12.0,https://joblink.maine.gov/search/warn_lookups/144
277,Cuddledown,,"Feb 02, 2018",26.0,https://joblink.maine.gov/search/warn_lookups/145
278,Maine Girls' Academy,,"Jul 05, 2018",,https://joblink.maine.gov/search/warn_lookups/146
279,Sears,,"Jun 18, 2018",,https://joblink.maine.gov/search/warn_lookups/147
280,Mount Heights Health Care Facility,,"Aug 02, 2018",53.0,https://joblink.maine.gov/search/warn_lookups/148
281,Ledgeview Living Center,,"Aug 10, 2018",122.0,https://joblink.maine.gov/search/warn_lookups/149
282,Farmington Coca- Cola,,"Aug 09, 2018",6.0,https://joblink.maine.gov/search/warn_lookups/150
283,Consolidated Communications Bangor,,"Sep 05, 2018",33.0,https://joblink.maine.gov/search/warn_lookups/151
284,Consolidated Communications Portland,,"Sep 05, 2018",30.0,https://joblink.maine.gov/search/warn_lookups/152
285,Fuel Bistro,,"Aug 29, 2018",,https://joblink.maine.gov/search/warn_lookups/153
286,Northeast Publishing Company,,"Aug 29, 2018",17.0,https://joblink.maine.gov/search/warn_lookups/154
287,Southern New Hampshire University,,"Oct 17, 2018",8.0,https://joblink.maine.gov/search/warn_lookups/156
288,Bridgton Health and Residential,,"Oct 01, 2018",50.0,https://joblink.maine.gov/search/warn_lookups/157
289,Freeport Nrsing and Rehab Center,,"Oct 01, 2018",,https://joblink.maine.gov/search/warn_lookups/158
290,Tri County Rescue,,"Oct 17, 2018",,https://joblink.maine.gov/search/warn_lookups/159
291,Carbonite,,"Nov 02, 2018",5.0,https://joblink.maine.gov/search/warn_lookups/160
292,Landmark,,"Nov 05, 2018",6.0,https://joblink.maine.gov/search/warn_lookups/161
293,Emery Waterhouse,,"Oct 10, 2018",150.0,https://joblink.maine.gov/search/warn_lookups/162
294,Thomas Moser,,"Nov 06, 2018",,https://joblink.maine.gov/search/warn_lookups/163
295,Weber Machine USA,,"Nov 12, 2018",3.0,https://joblink.maine.gov/search/warn_lookups/165
296,Lighting Concepts,,"Dec 10, 2018",3.0,https://joblink.maine.gov/search/warn_lookups/166
