,company_name,location,notice_date,layoff_date,employees_affected,Type
411,BWI Airport Marriott Hotel,"1743 W. Nursery Road Linthicum, MD 21090",6/8/2020,3/21/2020,140,2
412,Bethesda Marriott Suites,"6711 Democracy Boulevard Bethesda, MD 20817",6/8/2020,3/21/2020,84,2
413,"NorthBay Education, Inc.",11 Horseshoe Point Lane,6/8/2020,6/19/2020,136,2
414,Bethesda Marriott,"5151 Pooks Hill Road Bethesda, MD 20814",6/10/2020,3/21/2020,176,2
415,Hyatt Regency Baltimore,"300 Light Street Baltimore, MD 21202",6/11/2020,3/20/2020,177,2
416,Gaylord National Harbor Resort and Conference Center,"201 Waterfront Street National Harbor, MD 20745",6/15/2020,3/11/2020,"2,077",2
417,"Jacobsen Daniels Enterprises, Inc.","BWI Airport 7050 Friendship Road Baltimore, Md 21240",6/15/2020,6/12/2020,15,2
418,AC Hotel National Harbor,"156 Waterfront Street Oxon Hill, MD 20745",6/18/2020,3/10/2020,54,2
419,The Padonia Corporation & Child Care International LTD,"12006 Jenifer Road Cockeysville, MD 21030",6/19/2020,6/3/2020,69,2
420,Sheraton Inner Harbor,"300 South Charles Street Baltimore, MD 21201",6/19/2020,3/21/2020,135,2
421,Marriott International Shared Services,"10400 Fernwood Road Bethesda, MD 20817",6/19/2020,4/4/2020,64,2
422,Victoria's Secret,"7900 Governor Ritchie Hwy. Glen Burnie, MD 21061",6/24/2020,6/25/2020,28,1
423,"VT Industries, Inc.","101 Western Maryland Pkwy Hagerstown, MD 21740",6/24/2020,5/13/2020,62,1
424,Sheppard Pratt - Jefferson School and Residential Treatment Center,"2940 Point of Rocks Road Jefferson, MD 21755",6/24/2020,8/31/2020,175,1
425,"Traylor Bros., Inc.","6811 Kenilworth Avenue Riverdale, MD 20737",6/24/2020,8/23/2020,28,2
426,"Purple Line Transit Constructors, LLC","6811 Kenilworth Avenue Riverdale, MD 20737",6/24/2020,8/23/2020,478,2
427,Lane Construction Corporation,"6811 Kenilworth Avenue Riverdale, MD 20737",6/24/2020,8/23/2020,125,2
428,"Fluor Enterprises, Inc.","6811 Kenilworth Avenue Riverdale, MD 20737",6/24/2020,8/23/2020,87,2
