,company_name,location,notice_date,layoff_date,employees_affected,Type
908,MV Transportation,"11A Irongate Drive, Waldorf, MD",9/24/2012,10/31/2012,68,1
909,Eby-Brown,"6610 Cabot Dr. Baltimore, MD",9/26/2012,11/2/2012,112,2
910,Sinful Colors Inc.,"10721 Tucker Street, Beltsville, MD",10/1/2012,1/1/2013,117,1
911,Human Genome Sciences,"14200 Shady Grove Road, Rockville, MD",10/15/2012,12/15/2012,97,2
912,Kratos Defense and Security Solutions,"5200 Philadelphia Way, Lanham, MD",10/26/2012,12/30/2012,125,2
913,Sotera Defense Solutions,"24 S. Wisner Street, Suite 110, Frederick, MD",10/29/2012,12/31/2012,25,1
914,Clyde's of Columbia and the Tomato Palace Restaurants,"10221 Wincopin Circle, Columbia, MD",11/1/2012,1/7/2013,195,1
915,Mercier's,"7442 Shipley Avenue, Harmans MD",11/27/2012,12/31/2012,75,2
916,URS Corporation,"MacArthur Road, Ft. Meade, MD & 430 National Business Parkway, Suite 400, Annapolis Junction, MD",12/20/2012,2/7/2013,Unknown at this time,2
917,Commerce Corporation,"7603 Energy Parkway, Baltimore, MD",12/27/2012,12/28/2012,60-70 in Maryland,1
918,URS Corporation,"MacArthur Road, Ft. Meade, MD & 430 National Business Parkway, Site 400, Annapolis Junction, MD",12/20/2012,2/27/2013,31,2
919,Commerce Corporation,"7603 Energy Parkway, Baltimore, MD",12/27/2012,12/28/2012,60-70 in Maryland,1
920,Veolia Transportation,"2100 Huntingdon Ave, Baltimore, MD",12/27/2012,3/3/2013,78,2
921,Pepsi Beverages Company,"1650 Union Avenue, Baltimore, MD",1/10/2011,3/11/2011,77,1
922,ZipRealty Inc.,"1122 Kenilworth Drive, Suite 217, Towson, MD",1/12/2011,3/14/2011,2,1
923,GE Aviation,"20501 Seneca Medows Pkwy, Germantown, MD",1/26/2011,4/1/2011,44,2
924,Northrop Grumman,"7040 TroyHill Dr., Elkridge, MD",2/28/2011,4/30/2011,146,2
925,Bank of America,"11333 McCormick Road, Hunt Valley, MD",3/4/2011,4/30/2011,39,2
926,Honeywell,"7515 & 7535 Mission Dr, Lanhan-Seabrook and 8800 Greenbelt Road, Geenbelt, MD",3/8/2011,4/82011,190,2
927,Cansa Hershman Recycling,"6401 Quad Avenue, Baltimore, MD",3/10/2011,5/8/2011,25,2
928,ARAMARK Educational Services,"8000 York Road, Towson, MD",3/14/2011,6/30/2011,83,1
929,"ITT, Global Information Services","7556 Teague Road, Suite 300, Hanover, MD",3/22/2011,12/30/2011,48,1
930,Peapod by Giant,"211 Edison Park Drive, Gaithersburg, MD",3/22/2011,5/31/2011,120,1
931,Editor's Press,"6200 Editors Park Drive, Hyattsville, MD",3/31/2011,5/31/2011,84,1
932,Chubb & Son,"1800 Washington Boulevard, Baltimore MD",4/11/2011,10/31/2011,90,1
933,"Cristal Global, Millennium Inorganic Chemicals","3901 Fort Armistead Road, Baltimore, MD",4/19/2011,7/1/2011-12/2013,78,1
934,Bank of America,"6711 Columbia Gateway Drive, Columbia, MD",4/27/2011,6/15/2011,18,2
935,Solo Cup,"10100 Reisterstown Road, Owings Mills, MD",4/29/2011,6/30/2011,101,1
936,A&P /Super Fresh,"222 N Charles St. Baltimore, MD",5/6/2011,7/62011,44,1
937,A&P/Super Fresh,"5101 East Drive, Arbutus, MD",5/62011,7/6/2011,37,1
938,A&P/Super Fresh,"7005 Security Blvd., Woodlawn, MD",5/6/2011,7/6/2011,91,1
939,A&P/Super Fresh,"1350 W. 41st Street, Baltimore, MD",5/6/2011,7/6/2011,95,1
940,A&P/Super Fresh,"1763 Chesaco Ave., Rosedale, MD",5/6/2011,7/6/2011,65,1
941,A&P/Super Fresh,"504 Ridgeville Blvd. Mount Airy, MD",5/6/2011,7/6/2011,58,1
942,A&P/Super Fresh,"1238 Putty Hill, Towson, MD",5/6/2011,7/6/2011,75,1
943,A&P/Super Fresh,"8905 Belair Road, Baltimore, MD",5/6/2011,7/6/2011,58,1
944,A&P/Super Fresh,"Route 213, Wash Square, Chestertown, MD",5/6/2011,7/6/2011,61,1
945,A&P/Super Fresh,"3301 North Ridge Road, Ellicott City, MD",5/6/2011,7/6/2011,83,1
946,A&P/Super Fresh,"7280 Montgomery, Elkridge, MD",5/6/2011,7/6/2011,72,1
947,A&P/Super Fresh,"780 Cambridge, Cambridge, MD",5/6/2011,7/6/2011,76,1
948,A&P/Super Fresh,"125 West College St, Salisbury, MD",5/6/2011,7/6/2011,82,1
949,A&P/Super Fresh,"37 W. Aylesbury Ave., Timonium, MD",5/6/2011,7/6/2011,98,1
950,A&P/Super Fresh,"1155 Annapolis Road, Odenton, MD",5/6/2011,7/6/2011,64,1
951,A&P/Super Fresh,"7440 Ritchie Hwy., Glen Burnie, MD",5/6/2011,7/6/2011,67,1
952,A&P/Super Fresh,"1238 Bay Dale Drive, Arnold, MD",5/6/2011,7/6/2011,63,1
953,A&P/Super Fresh,"7709 Harford Road, Parkville, MD",5/6/2011,7/6/2011,68,1
954,A&P/Super Fresh,"RT 140, Englar Road, Westminster, MD",5/6/2011,7/6/2011,58,1
955,A&P/Super Fresh,"Ballenger Creek Pkwy., Frederick, MD",5/6/2011,7/6/2011,34,1
956,A&P/Super Fresh,"40 Souner Road, Brunswick, MD",5/6/2011,7/6/2011,44,1
957,A&P/Super Fresh,"12028 Cherry Hill Road, White Oak, MD",5/6/2011,7/6/2011,84,1
958,Worthington Industries,"8911 Bethlehem Blvd., Baltimore MD",5/12/2011,7/13/2011,59,1
959,IAP Worldwide Services,"229 Chisholm Avenue, Fort Meade MD",5/16/2011,6/30/2011,144,1
960,Coca-Cola Refreshments,"2556 Riva Road, Annapolis, MD",5/17/2011,9/2/2011,72,1
961,DIAGEO,"5001 Washington Blvd., Baltimore, MD",5/25/2011,7/29/2011,55,2
962,RTS,"2562 Solomons Island Road, Annapolis, MD",5/25/2011,8/31/2011,10,2
963,RTS,"7900 Ritchie Hwy., Suite E 157 Marley Station Mall, Glen Burnie, MD",5/25/2011,8/31/2011,6,2
964,RTS,"6711 Ritchie Hwy., Suite 625, Glen Burnie, MD",5/25/2011,8/31/2011,2,2
965,RTS,"1852 Reisterstown Rd., Suite 105, Pikesville, MD",5/25/2011,8/31/2011,6,2
966,RTS,"405 Williams Court, Stes., 116-120, Middle River, MD",5/25/2011,8/31/2011,12,2
967,RTS,"1964 York Rd., Timonium, MD",5/25/2011,8/31/2011,5,2
968,RTS,"8149 Honeygo Boulevard, Suite E, Baltimore, MD",5/25/2011,8/31/2011,11,2
969,RTS,"6220 Baltimore National Pike, Catonsville, MD",5/25/2011,8/31/2011,8,2
970,RTS,"1160 West Patrick, St., Frederick, MD",5/25/2011,8/31/2011,11,2
971,RTS,"2720 North Salisbury Blvd., Salisbury, MD",5/25/2011,8/31/2011,14,2
972,RTS,"9021 Snowden Square Drive, Columbia, MD",5/25/2011,8/31/2011,9,2
973,RTS,"400 North Center St., Suite 167, Westminster, MD",5/25/2011,8/31/2011,6,2
974,RTS,"1701-A Rockville Pike, Rockville, MD",5/25/2011,8/31/2011,9,2
975,RTS,"472 North Frederick Ave., Gaithersburg, MD",5/25/2011,8/31/2011,6,2
976,RTS,"6932 Wisconsin Ave., Chevy Chase, MD",5/25/2011,8/31/2011,4,2
977,RTS,"21040 Frederick Road Unit G, Germantown, MD",5/25/2011,8/31/2011,6,2
978,RTS,"8919 Woodyard Rd., Suite B, Clinton, MD",5/25/2011,8/31/2011,6,2
979,RTS,"10250 Baltimore Ave., Ste. A, College Park, MD",5/25/2011,8/31/2011,4,2
980,RTS,"15642 Emerald Way, Space A-1, Bowie, MD",5/25/2011,8/31/2011,7,2
981,RTS,"23105 Three Notch Road, California, MD",5/25/2011,8/31/2011,9,2
982,RTS,"2915 Crain Highway, Waldorf, MD",5/25/2011,8/31/2011,11,2
983,RTS,"2 Bel Air South Parkway, Bel Air, MD",5/25/2011,8/31/2011,11,2
984,Hometown America,"1901 Fernwood Drive, Capitol Heights, MD",5/31/2011,9/30/2011,4,2
985,General Dynamics Information Technology,"3071 Aberdeen Blvd., Aberdeen Proving Ground, MD",6/2/2011,Starting 7/15/2011,52,1
986,"Allen Family Foods, Inc.","12041 Cordova Road, Cordova, MD",6/9/2011,8/8/2011,474,1
987,Lockheed Martin,"7601 & 7615 Ora Glen Drive, Greenbelt, MD",6/13/2011,8/12/2011,95,1
988,TransCare,"1125A Desoto Road, Baltimore, MD",6/28/2011,8/31/2011,55,1
989,DEL-JEN,"3066 Perimeter Road, Andrews Air Force Base, MD",6/29/2011,8/31/2011,96,1
990,"Gates, McDonald & Company Nationwide Better Heath","300 Clubhouse Lane, Hunt Valley, MD",6/29/2011,8/29/2011,96,1
991,Phillips Seafood Restaurants,"301 Light Street, Baltimore MD",7/13/2011,9/15/2011,120,6 week temporary lay off
992,Prestige Maintenance,Various-Workers were stationed in 17 different Target Stores around the state.,7/18/2011,8/1/2011,54,2
993,BP Solar,"630 Solarex Court, Frederick Business Center, Frederick, MD",7/19/2011,10/18/2011,58,2
994,Legg Mason,"11155 Red Run Blvd., Owings Mills, MD",7/25/2011,1/1/2012,35,2
995,DPI Specialty Foods,"1100 Mercantile Lane, Suite 100, Largo, MD",7/25/2011,9/29/2011,89,2
996,Lockheed Martin,"US Naval Academy, 257 Longshaw Road, Annapolis MD",7/28/2011,9/30/2011,4,2
997,Lockheed Martin,"Naval Observatory, 9500 MacArthur Blvd., Bethesda, MD",7/28/2011,9/30/2011,2,2
998,Lockheed Martin,"Naval Support Activity, Carderock, 9500 MacArthur Blvd.,Bethesda, MD",7/28/2011,9/30/2011,8,2
999,Lockheed Martin,"Naval Support Activity, Indian Head, 4386 Security Drive, Indian Head, MD",7/28/2011,9/30/2011,6,2
1000,Lockheed Martin,"Naval Air Station, Patuxent River, Sauffley Road, Bldg 3219, Lexington Park, MD",7/28/2011,9/30/2011,15,2
1001,Omni Corporation,"16825 S. Seton, Emmitsburg, MD",8/1/2011,9/30/2011,97,1
1002,Capital One,"6200 Chevy Dr., Laurel, MD",8/3/2011,10/2/2011,54,2
1003,elnstruction,"7125 Riverwood Dr., Columbia, MD",8/3/2011,8/12/2011,20,1
1004,L.H. Cranston & Sons,"1111 Pepper Rd., Hunt Valley, MD",8/22/2011,8/26/2011,unknown at this time,2
1005,SAIC,"NIH Femwood Building, 10401 Femwood Road, Bethesda, MD",8/26/2011,10/28/2011,83,2
1006,Unilever Ice Cream,"1100 Frederick Street, Hagerstown, MD",9/2/2011,11/1/2011,437,1
1007,BP Solar,"630 Solarex Court, Frederick Business Center, Frederick, MD",9/20/2011,12/20/2011,8 additional,1
1008,Bank of America,"5300 Westview Drive, Frederick, MD",9/27/2011,11/7/2011,20,2
1009,Redland Brick,"15718 Clear Spring Road, Williamsport, MD",10/25/2011,12/23/2011,60,Temporary lay-off for a minimum of 60 days
1010,Pillar Hotels & Resorts Holiday Inn (Frederick),"5400 Holiday Drive, Frederick, MD",11/3/2011,12/31/2011,87,2
1011,Pillar Hotels & Resorts Holiday Inn Express (Frederick),"5579 Spectrum Drive, Frederick, MD",11/3/2011,12/31/2011,19,2
1012,Pillar Hotels & Resorts Holiday Inn (Cumberland),"100 S. George Street, Cumberland, MD",11/3/2011,12/31/2011,53,2
1013,Filene's Basement-Syms Clothing,"600 East Pratt St., Baltimore, MD",11/4/2011,1/9/2012,31,1
1014,Filene's Basement-Syms Clothing,"1900 Chapman Avenue, Rockville, MD",11/4/2011,1/9/2012,37,1
1015,DynCorp International,"P.O. Box 469, Lexington Park, MD",11/14/2011,12/31/2011,74,1
1016,Interstate Hotels & Resorts Comfort Inn BWI,"6921 Baltimore-Annapolis Boulevard, Baltimore, MD",11/17/2011,11/18/2011,52,2
1017,"Transnuclear Inc., an Areva Company","7135 Minstrel Way, Suite 300 Columbia, MD",12/1/2011,1/31/2012,1,2
1018,Fechheimer,"11 Dorsey Hotel Road, Grantsville, MD",12/7/2011,3/1/2012,59,2
1019,"Susquehanna Bancshares, Inc.","2532 Baltimore Blvd., Mount Airy, MD",12/22/2011,2/17/2012,"Total 35 (At this time, number impacted at this location is unknown.)",2
1020,"Susquehanna Bancshares, Inc.","532 Baltimore Blvd., Ste 202, Westminster, MD",12/22/2011,2/17/2012,"Total 35 (At this time, number impacted at this location is unknown.)",2
1021,"Susquehanna Bancshares, Inc.","2101 Laurel Bush Road, Bel Air, MD",12/22/2011,2/17/2012,"Total 35 (At this time, number impacted at this location is unknown.)",2
1022,"Susquehanna Bancshares, Inc.","231 N. Main St., Boonsboro, MD",12/22/2011,2/17/2012,"Total 35 (At this time, number impacted at this location is unknown.)",2
1023,"Susquehanna Bancshares, Inc.","1101 Professional Court, Hagerstown, MD",12/22/2011,2/17/2012,"Total 35 (At this time, number impacted at this location is unknown.)",2
1024,"Susquehanna Bancshares, Inc.","940 Frederick Street, Hagerstown, MD",12/22/2011,2/17/2012,"Total 35 (At this time, number impacted at this location is unknown.)",2
1025,"Susquehanna Bancshares, Inc.","1800 Dual Highway, Ste. 100, Hagerstown, MD",12/22/2011,2/17/2012,"Total 35 (At this time, number impacted at this location is unknown.)",2
1026,"Susquehanna Bancshares, Inc.","17601 Virginia Ave., Hagerstown, MD",12/22/2011,2/17/2012,"Total 35 (At this time, number impacted at this location is unknown.)",2
1027,"Susquehanna Bancshares, Inc.","18233 Maugans Ave., Hagerstown, MD",12/22/2011,2/17/2012,"Total 35 (At this time, number impacted at this location is unknown.)",2
1028,"Susquehanna Bancshares, Inc.","13418 Marsh Pike, Hagerstown, MD",12/22/2011,2/17/2012,"Total 35 (At this time, number impacted at this location is unknown.)",2
1029,"Susquehanna Bancshares, Inc.","13511 Label Lane, Hagerstown, MD",12/22/2011,2/17/2012,"Total 35 (At this time, number impacted at this location is unknown.)",2
1030,"Susquehanna Bancshares, Inc.","1262 Vocke Road, LaVale, MD",12/22/2011,2/17/2012,"Total 35 (At this time, number impacted at this location is unknown.)",2
1031,"Susquehanna Bancshares, Inc.","963 National Highway, LaVale, MD",12/22/2011,2/17/2012,"Total 35 (At this time, number impacted at this location is unknown.)",2
1032,"Susquehanna Bancshares, Inc.","305 E. Oak Street, Oakland, MD",12/22/2011,2/17/2012,"Total 35 (At this time, number impacted at this location is unknown.)",2
1033,"Susquehanna Bancshares, Inc.","4204 Ebenezer Road, Baltimore, MD",12/22/2011,2/17/2012,"Total 35 (At this time, number impacted at this location is unknown.)",2
1034,"Susquehanna Bancshares, Inc.","307 International Circle, Suite 600, Hunt Valley, MD",12/22/2011,2/17/2012,"Total 35 (At this time, number impacted at this location is unknown.)",2
1035,"Susquehanna Bancshares, Inc.","10455 Mill Run Circle, Owings Mills, MD",12/22/2011,2/17/2012,"Total 35 (At this time, number impacted at this location is unknown.)",2
1036,"Marada Industries, Inc.",Westminster,1/7/2010,3/9/2010,117,1
1037,ARAMARK Management Services University of Maryland Medical System,Baltimore City,1/18/2010,4/12/2010,411,1
1038,ARAMARK Management Services University Specialty Hospital,Baltimore City,1/18/2010,4/12/2010,43,1
1039,Prime Retail Management,Baltimore City,1/20/2010,3/15/2010,Not known,2
1040,NO WARNS REPORTED,,2/1/2010 to 2/28/2010,,,
1041,Wackenhut Services Inc.,Columbia,3/1/2010,4/30/2010,5,1
1042,Sears Holdings,Columbia,3/5/2010,3/15/2010,101,1
1043,General Dynamics,Westminster,3/8/2010,3/8/2010,80,2
1044,Capital One Bank,Laurel,3/9/2010,7/1/2010,179,2
1045,Northrop Grumman,Hagerstown,3/11/2010,5/9/2010,174,2
1046,BP Solar,Frederick,3/26/2010,6/30/2010,323,2
1047,Office Depot,Odenton,4/15/2010,6/18/2010,132,1
1048,Pitney Bowes Government Services Inc.,Rockville and Landover,4/21/2010,4/30/2010,21,2
1049,Science Applications International Corporation,Camp Springs,4/27/2010,6/28/2010,82,2
1050,Amports,Baltimore,4/30/2010,7/1/2010,116,1
1051,Capital One Bank,"6151 Chevy Chase Drive, Laurel, MD",5/11/2010,11/5/2010,134,2
1052,Capital One Bank,"7501 Wisconsin Ave., Bethesda, MD",5/11/2010,9/17/2010,68,2
1053,General Dynamics Land Systems,"1231 Tech Court, Westminster, MD",5/18/2010,7/16/2010,31,2
1054,Hanger Orthopedic Group Inc.,"2 Bethesda Metro Center, Bethesda MD",5/25/2010,8/31/2010,77,1
1055,Legg Mason,"11155 Red Run Blvd., Owings Mills, MD",6/3/2010,7/1/2011,141,2
1056,ESPN Zone,"601 East Pratt St. Baltimore, MD",6/16/2010,8/15/2010,161,1
1057,Northrop Grumman,"18450 Showalter Road, Hagerstown, MD",6/28/2010,8/16/2010,59,2
1058,Prime Retail,"217 E. Redwood St., 20th Floor, Baltimore, MD",7/7/2010,9/5/2010,44,2
1059,Wackenhut Services Incorporated,"P.O. Box 700, Suitland, MD",7/19/2010,9/30/2010,82,2
1060,JP Morgan Chase,"5202 Presidents Court, Frederick, MD",7/27/2010,9/27/2010,561,1
1061,Solo Cup Company,"10100 Reisterstown Road, Owing Mills",7/29/2010,10/3/2010,551,1
1062,Bank of America,"11333 McCormick Road, Hunt Valley",7/30/2010,9/20/2010,50,2
1063,"Ravenwood Healthcare, Inc.","501 West Franklin Street, Baltimore",8/4/2010,8/3/2010,Not known,2
1064,Apex Tool Group,"7200 Standard Drive, Hanover, MD",8/11/2010,10/11/2010,106,1
1065,Kongsberg Automotive,"101 Western Maryland Parkway, Hagerstown, MD",8/13/2010,10/31/2010,63,1
1066,Aramark @ Oriole Park at Camden Yards,"555 Russell Street, Suite B, Baltimore, MD",8/31/2010,10/13/2010,613,1
1067,General Dynamics,"1231 Tech Court, Westminster, MD",8/31/2010,10/29/2010,132,2
1068,Redland Brick,"15718 Clear Spring Road, Williamsport, MD",9/17/2010,11/22/2010,60,2 Temporary
1069,Kop-Flex/Emerson Power Transmission,"7565 Harmans Road, Hanover, MD",10/4/2010,Start 12/1/10 End 9/2011,110,1
1070,Homestead Publishing,"10 N. Hays Street, Bel Air, MD",10/6/2010,12/10/2010,52,2
1071,Principal Financial Group,"7125 Thomas Edison Dr., Suite 210, Columbia, MD",10/11/2010,12/10/2010,2,2
1072,Baxter Healthcare Corporation,"12140 Indian Creek Court, Beltsville, MD",10/15/2010,12/15/2010,106,1
1073,ARAMARK Educational Services LLC,"8000 York Road, Towson, MD",NOTE: possible event 10/22/2010,12/31/2010,84,1
1074,Severstal International,"1430 Sparrows Point Boulevard, Sparrows Point, MD",11/4/2010,12/31/2010,1012,2 NOTE: Currently a temporary lay-off situation
1075,ZipRealty,"1122 Kenilworth Drive, Suite 217, Towson MD",11/29/2010,1/31/2011,75,2
1076,"LFC Agricultural Services, Inc.","9060 Crisfield Highway, Westover, MD",12/2/2010,2/1/2011,103,1
1077,ProBuild,"11850 Pika Drive, Waldorf, MD",12/3/2010,12/7/2010,27,1
