,company_name,location,notice_date,employees_affected
250,Cargill Meat Solutions Corporation,Columbus,10/30/2015,75
251,Shopko xxxx,Omaha Distribution Center,10/28/2015,265
252,Shopko Corporate Office,Omaha - Shopko Distribution Center,10/28/2015,
253,Convergys Corporation,Omaha,10/27/2015,191
254,H & H Chevrolet LLC,Omaha,10/26/2015,153
255,H & H Motors Omaha dba H & H KIA,Omaha,10/26/2015,53
256,Folders Express,Omaha,10/23/2015,57
257,Catholic Health Initiative,Omaha,10/16/2015,60
258,Union Pacific - Withdrawn,Omaha,8/12/2015,100+
259,Michael Foods Egg Products Company,Wakefield - Farm Facility,5/21/2015,50
260,Michael Foods Egg Products Company,Wakefield - Plant Facility,5/21/2015,60
261,"Skag-Way Discount Department Stores, Inc.",Grand Island (Locust Street),3/23/2015,92
262,"Skag-Way Discount Department Stores, Inc.",Grand Island (State Street),3/23/2015,134
263,"United Airlines, Inc.",Omaha,3/11/2015,76
264,Land O'Frost,West Point,2/27/2015,125
265,Folders Express,Omaha,12/31/2015,57
266,Lockheed Martin,Bellevue,12/31/2015,8
267,H & H Chevrolet LLC,Omaha,12/31/2015,153
268,H & H Motors Omaha dba H & H KIA,Omaha,12/31/2015,53
269,"RICOH USA, Inc.",Scottsbluff,12/30/2015,26
270,Subway Pizza Express/Auntie Anne's Pretzels,Lincoln,12/18/2015,5
271,Catholic Health Initiative,Omaha,12/18/2015,60
272,Lincolnland Printing,Lincoln,12/16/2015,2
273,"RICOH USA, Inc.",Scottsbluff,12/9/2015,26
274,Sears Automotive Center,Grand Island,12/5/2015,4
275,"Packers Sanitation Services, Inc.",Columbus,12/5/2015,
276,Cargill Meat Solutions Corporation,Columbus,12/4/2015,75
277,American Express Global Business Travel,Omaha,12/4/2015,5
278,The Knolls,Lincoln,12/2/2015,2
279,Bag'n Save/No Frills,Omaha,12/1/2015,0
280,Omni Engineering,Omaha,11/27/2015,30
281,Youth Learning Center,Omaha,11/23/2015,2
282,Sebastian's Table,Lincoln,11/21/2015,5-9
283,Quality Service Integrity,Dakota City,11/20/2015,58
284,IAC Acoustics,Lincoln,11/17/2015,160
285,Lincoln Journal Star,Lincoln,11/16/2015,8
286,Office Depot,Lincoln,11/14/2015,
287,Office Depot,Omaha,11/14/2015,
288,Alter Trading Co,Sidney,11/9/2015,2
289,Alter Trading Co,Ogallala,11/9/2015,2
290,Alter Trading Co,Kearney,11/9/2015,3
291,Alter Trading Co,Grand Island,11/9/2015,2
292,Alter Trading Co,Omaha,11/9/2015,1
293,Alter Trading Co,Lincoln,11/9/2015,1
294,Pioneer Investments,Omaha,11/6/2015,38
295,The Knolls,Lincoln,11/5/2015,5
296,Hexagon Lincoln,Lincoln,11/5/2015,45
297,Omni Engineering,Omaha,11/2/2015,5
298,Elliott Equipment Company,Omaha,11/1/2015,5
299,Grossenburg Implement,Laurel,11/1/2015,14
300,IAC Acoustics,Lincoln,10/28/2015,30
301,Sears,Scottsbluff,10/26/2015,
302,CNH America LLC,Grand Island,10/23/2015,49
303,Hydraulic Components,Hartington,10/19/2015,
304,Shop EZ,Lincoln,10/17/2015,7
305,Mid-Plains Power,Omaha,10/16/2015,28
306,Behlen Manufacturing Company,Columbus,10/12/2015,
307,Rouge Manufacturing,Grand Island,10/8/2015,2
308,Telecare Corporation,Omaha,10/7/2015,
309,Staples,Omaha,10/7/2015,13
310,Allmand Brothers,Holdrege,10/6/2015,23
311,The Knolls Restaurant,Lincoln,10/4/2015,11
312,Apogee Call Center/Savers,Columbus,10/4/2015,296
313,Preferred Sands of Genoa,Genoa,10/2/2015,30
314,Preferred Resin of Genoa,Genoa,10/1/2015,4
315,Chief Industries,Grand Island,10/1/2015,32
316,Golden Star,Ainsworth,10/1/2015,15
317,Family Variety,Bloomfield,9/30/2015,
318,Main Street Market & Deli,Stapleton,9/30/2015,8
319,Infocrossing,Omaha,9/28/2015,4
320,A&A Bar,Western,9/26/2015,1
321,Election Systems & Software,Omaha,9/25/2015,25
322,Potter's Wheel Ministries,Scotts Bluff,9/23/2015,1
323,Cabela's x,Sidney,9/23/2015,
324,Preferred Pump,Grand Island,9/23/2015,4
325,Cox's Drywall,North Platte,9/23/2015,1
326,Cabela's Corporation,Cabela's Store - Sidney,9/23/2015,
327,Medicine Shoppe Pharmacy,Beatrice,9/18/2015,5
328,Depot Bar & Grill,North Platte,9/18/2015,
329,Allmand Brothers,Holdrege,9/18/2015,12
330,Union Pacific,Omaha,9/16/2015,100+
331,Candy's Cupcakery,North Platte,9/14/2015,
332,Yarn Shop,Lincoln,9/7/2015,8
333,Joffe's Too,Lincoln,8/31/2015,1
334,South Omaha Terminal Warehouse,Omaha,8/31/2015,3
335,Hexagon Lincoln,Lincoln,8/27/2015,8
336,Hydraulic Components,Hartington,8/18/2015,9
337,Forsberg Gallery,Lincoln,8/15/2015,4
338,Progress Rail,Gering,8/10/2015,19
339,Diana's Antiques and Gifts,Ceresco,7/31/2015,1
340,Libations,Lincoln,7/31/2015,3
341,Alorica,Omaha,7/24/2015,16
342,Alter Trading Co,Kearney,7/23/2015,2
343,City of Crete,Crete,7/9/2015,4
344,TD Ameritrade,Omaha,7/3/2015,16
345,CCB,Cozad,7/1/2015,26
346,Burns Lab,McCook,6/30/2015,11
347,Wisner Pharmacy,Wisner,6/26/2015,3
348,CNH America LLC,Grand Island,6/15/2015,136
349,"Skag-Way Discount Department Stores, Inc.",Grand Island (Locust Street),5/22/2015,92
350,"Skag-Way Discount Department Stores, Inc.",Grand Island (State Street),5/22/2015,134
351,"United Airlines, Inc.",Omaha,5/17/2015,76
352,Exeter Care Center,Exeter,4/20/2015,12
353,Nationstar,Scottsbluff,3/31/2015,114
354,Charter Communication,Hastings,3/31/2015,5
355,Alco Discount Store,McCook,3/16/2015,12
356,Alco Discount Store,Valentine,2/28/2015,15
357,Alco Discount Store,Albion,2/28/2015,16
358,Applause Video,Hastings,2/28/2015,10
359,Alco Discount Store,O'Neill,2/15/2015,13
360,Alco Discount Store,North Platte,2/15/2015,13
361,Alco Discount Store,Ord,2/10/2015,11
362,Alco Discount Store,Cozad,2/10/2015,14
363,Alco Discount Store,Broken Bow,2/10/2015,13
364,Alco Discount Store,Imperial,1/31/2015,0
365,Alco Discount Store,Gordon,1/31/2015,15
366,Alco Discount Store,Ainsworth,1/31/2015,28
367,Alco Discount Store,Ogallala,1/30/2015,17
368,Alco Discount Store,West Point,1/30/2015,13
369,Experience Works,North Platte,11/16/2016,5
370,Verizon,Lincoln,11/7/2016,324
371,Hood Packaging Corporation,Omaha,10/10/2016,25
372,Bimbo Bakeries - Hastings,Hastings,7/8/2016,121
373,CommScope,Sidney,1/27/2016,150
374,McKesson Corporation,La Vista,12/31/2016,80
375,Pizza Hut,Falls City,12/31/2016,
376,Bellar Feedlot,Wisner,12/31/2016,22
377,Catholic Charities,Columbus,12/30/2016,25
378,Andrew's Van Lines,Norfolk,12/30/2016,13
379,China Road,Bellevue,12/24/2016,15
380,K-Mart Kearney,Kearney,12/11/2016,35
381,K-Mart,Scottsbluff,12/11/2016,40
382,K-Mart,Kearney,12/11/2016,35
